name,price,sweet,bitter,fruity,acidity,aging,soft
Oak Farm 2014 Barbera (Lodi),25,3.0,3.0,5.0,3.0,5.0,3.0
Drei Don횪 Tenuta La Palazza 2010 Notturno Sangiovese (Forl챙),17,3.0,3.0,5.0,3.0,2.0,3.0
Kale 2014 Heritage McGah Vineyard Red (Rutherford),60,4.0,3.0,5.0,3.0,5.0,5.0
Segura Viudas NV Aria Estate Brut Sparkling (Cava),14,4.0,3.0,5.0,5.0,3.0,3.0
Magnificent Wine Company 2010 House Wine Red Red (Columbia Valley (WA)),12,3.0,5.0,5.0,3.0,4.0,3.0
Oyster Bay 2015 Pinot Noir (Marlborough),19,3.0,3.0,5.0,3.0,4.0,5.0
P챔re Anselme 2012 La Fiole Red (C척tes du Rh척ne),10,4.0,4.0,5.0,4.0,2.0,3.0
Kilikanoon 2011 Mort's Reserve Watervale Riesling (Clare Valley),35,3.0,3.0,5.0,5.0,3.0,4.0
Bodegas Pe챰afiel 2015 Alba de Sierra Verdejo (Rueda),14,4.0,3.0,4.0,5.0,3.0,3.0
Acacia 2013 Thornton Vineyard Pinot Noir (Sonoma Coast),50,3.0,3.0,5.0,3.0,2.0,3.0
Castillo de Monjardin 2009 Deyo Merlot (Navarra),18,3.0,5.0,5.0,3.0,5.0,1.0
Ch창teau de Pizay 2014  Beaujolais Blanc,13,3.0,3.0,3.0,5.0,5.0,5.0
Thirsty Owl Wine Company 2012 Merlot (Finger Lakes),20,3.0,5.0,5.0,5.0,5.0,3.0
Ch창teau de Lagarde 2012 Les Hauts de Lagarde  (Bordeaux Blanc),13,3.0,3.0,5.0,3.0,3.0,3.0
Szoke Maty찼s 2011 Pinot Gris (M찼tra),13,3.0,3.0,3.0,5.0,5.0,3.0
Ch창teau de Pizay 2015  Beaujolais Blanc,14,4.0,3.0,5.0,5.0,2.0,3.0
Ronco dei Tassi 2014 Fosarin White (Collio),26,3.0,3.0,5.0,5.0,3.0,2.0
Melrose 2013 Viognier (Umpqua Valley),16,3.0,3.0,3.0,5.0,1.0,5.0
Lucky7 2009 Sauvignon Blanc (Maule Valley),10,4.0,3.0,4.0,5.0,5.0,3.0
Domaine Jean-Paul Balland 2014  Sancerre,22,3.0,3.0,5.0,4.0,5.0,2.0
Lavender Ridge 2006 Grenache (Sierra Foothills),24,5.0,3.0,5.0,3.0,4.0,3.0
Casar de Burbia 2013 Tebaida Menc챠a (Bierzo),76,3.0,4.0,3.0,3.0,5.0,1.0
Chanson P챔re et Fils 2005 Les Boudots Premier Cru  (Nuits-St.-Georges),125,3.0,5.0,5.0,3.0,4.0,1.0
Gotan 2009 Shiraz (Mendoza),7,5.0,3.0,5.0,3.0,3.0,3.0
Eight Bells 2009 Cabernet Sauvignon (Red Mountain),25,3.0,3.0,5.0,3.0,1.0,3.0
Longevity 2011 Zinfandel (Lodi),28,3.0,5.0,5.0,3.0,5.0,3.0
Winkler-Hermaden 2006 Kirchleiten Sauvignon Blanc (S체doststeiermark),34,3.0,3.0,5.0,5.0,2.0,5.0
De Angelis 2012  Offida Pecorino,13,3.0,3.0,4.0,5.0,1.0,3.0
Estancia 2006 Keyes Canyon Ranches Cabernet Sauvignon (Paso Robles),15,3.0,3.0,5.0,3.0,5.0,1.0
Swingset 2014 Cabernet Sauvignon (Napa Valley),120,3.0,3.0,5.0,3.0,4.0,5.0
Rainoldi 2010 Fruttaio C횪 Rizzeri  (Sforzato di Valtellina),55,5.0,5.0,5.0,3.0,5.0,3.0
Chateau de Launay 2005 Les Vignes de Julia  (Bordeaux Sup챕rieur),,3.0,5.0,3.0,5.0,3.0,1.0
Tetra 2010 Red (Napa Valley),65,3.0,5.0,4.0,3.0,5.0,3.0
Domaine Zind-Humbrecht 2015 Terroir d'Alsace Riesling (Alsace),30,3.0,3.0,5.0,5.0,3.0,1.0
Acacia 2012 Sangiacomo Vineyard Chardonnay (Carneros),45,5.0,3.0,5.0,5.0,4.0,3.0
Hall 2010 Cabernet Sauvignon (Diamond Mountain District),125,5.0,3.0,5.0,3.0,3.0,3.0
Josh Cellars 2011 Merlot (California),15,3.0,5.0,5.0,3.0,5.0,3.0
Maldonado 2012 Los Olivos Vineyard Syrah (Napa Valley),75,3.0,5.0,5.0,3.0,4.0,3.0
Ara 2009 Pinot Noir (Marlborough),15,3.0,3.0,5.0,3.0,3.0,3.0
Portal del Montsant 2015 Bruberry Blanc White (Montsant),27,1.0,5.0,5.0,4.0,3.0,3.0
Purple Hands 2013 Freedom Hill Vineyard Pinot Noir (Willamette Valley),40,4.0,3.0,5.0,3.0,4.0,3.0
Sodaro 2005 Felicity Cabernet Sauvignon (Napa Valley),40,3.0,5.0,4.0,3.0,3.0,3.0
Taonga 2016 Sauvignon Blanc (Marlborough),14,5.0,3.0,3.0,5.0,3.0,3.0
La Crema 2008 Chardonnay (Russian River Valley),30,3.0,3.0,5.0,3.0,4.0,5.0
Bella Vetta 2006 Ami's Vineyard Cabernet Sauvignon (Howell Mountain),29,5.0,5.0,5.0,3.0,5.0,5.0
Calicaro 2008 Paris Mountain Lone Oak Vineyard Pinot Noir (Santa Lucia Highlands),45,3.0,3.0,5.0,3.0,5.0,1.0
Simonsig 2011 Merindol Syrah (Stellenbosch),42,4.0,4.0,5.0,3.0,3.0,2.0
Hugel 2009 Jubil챕챕 Gewurztraminer (Alsace),55,3.0,3.0,5.0,5.0,3.0,2.0
Three 2014 SMC Red,48,5.0,5.0,5.0,3.0,2.0,3.0
Ch창teau de Javernand 2014 Indig챔ne  (Chiroubles),28,3.0,3.0,5.0,5.0,5.0,3.0
Domaines Barons de Rothschild (Lafite) 1999 Le Dix de Los Vascos Cabernet Sauvignon (Colchagua Valley),40,3.0,3.0,5.0,3.0,1.0,3.0
Collier Falls 2012 Hillside Estate Cabernet Sauvignon (Dry Creek Valley),40,3.0,5.0,5.0,4.0,3.0,3.0
Domaine Dampt P챔re et Fils 2013 Beauroy Premier Cru  (Chablis),30,3.0,3.0,3.0,5.0,5.0,5.0
Obalo 2012 Crianza  (Rioja),24,3.0,3.0,5.0,5.0,5.0,5.0
The Federalist 2014 Honest Red (California),18,3.0,3.0,5.0,5.0,2.0,3.0
St. Sup챕ry 2010 Dollarhide Cabernet Sauvignon (Napa Valley),100,4.0,5.0,5.0,3.0,5.0,5.0
Lucie 2014 Bacigalupi Vinyard Pinot Noir (Russian River Valley),60,3.0,3.0,5.0,5.0,5.0,3.0
Secondo Marco 2010  Valpolicella Classico Superiore Ripasso,,3.0,5.0,5.0,3.0,5.0,3.0
Cantina Sociale della Valpantena 2011 Torre del Falasco  (Valpolicella Superiore Ripasso),25,3.0,3.0,5.0,3.0,4.0,5.0
Terra Valentine 2010 K-Block Estate Grown Cabernet Sauvignon (Spring Mountain District),65,5.0,3.0,5.0,3.0,3.0,3.0
Ca'Rom챔 2012 Cerretta  (Barolo),103,3.0,5.0,5.0,5.0,5.0,3.0
Alienor 2009 Cote de Castelero Syrah (Lake County),45,3.0,3.0,5.0,3.0,3.0,5.0
Agustinos 2013 Escorial Limited Selection Cabernet Sauvignon (Maipo Valley),40,3.0,5.0,5.0,5.0,4.0,1.0
Howard's Folly 2012 Sonhador Alvarinho (Vinho Verde),25,3.0,3.0,5.0,3.0,3.0,3.0
Ironstone 2006 Old Vine Reserve Zinfandel (Lodi),24,5.0,3.0,5.0,3.0,4.0,3.0
Bodegas Los Llanos 2005 Se챰or챠o de los Llanos Crianza Red (Valdepe챰as),8,3.0,3.0,5.0,3.0,5.0,3.0
Antico Colle 2010 Il Saggio Riserva  (Vino Nobile di Montepulciano),50,1.0,5.0,5.0,5.0,4.0,3.0
Bulgariana 2012 Merlot (Thracian Valley),11,3.0,5.0,5.0,4.0,3.0,3.0
Novy 2010 Oley Late Harvest Sweet Viognier (Russian River Valley),19,5.0,3.0,5.0,5.0,4.0,5.0
Foxen 2012 7200 Vogelzang Vineyard Sauvignon Blanc (Happy Canyon of Santa Barbara),28,1.0,5.0,5.0,4.0,4.0,1.0
Stephanie 2008 Cabernet Sauvignon (Napa Valley),50,5.0,3.0,5.0,3.0,3.0,3.0
Coppo 2011  Barolo,80,3.0,5.0,5.0,5.0,4.0,3.0
Ch창teau Saint-Maur 2014 L쨈Excellence White (C척tes de Provence),45,4.0,3.0,5.0,5.0,3.0,3.0
Venge 2010 Maldonado Vineyard Chardonnay (Napa Valley),39,5.0,3.0,5.0,4.0,5.0,3.0
Gravity Hills 2009 The Sherpa Zinfandel (Central Coast),12,3.0,3.0,4.0,5.0,4.0,1.0
San Juan Vineyards 2014 Estate Grown Madeleine Angevine (Puget Sound),18,3.0,3.0,5.0,5.0,3.0,1.0
Leah J첩rgensen Cellars 2014 Oregon Tour Rain Vin Rouge Red (Oregon),25,3.0,3.0,5.0,5.0,3.0,3.0
Ch창teau de Lisennes 2011 Cuv챕e Tradition  (Bordeaux Sup챕rieur),14,3.0,5.0,4.0,5.0,3.0,5.0
Vall Llach 2006 Red (Priorat),95,5.0,3.0,5.0,3.0,3.0,3.0
Robert Weil 2012 Kiedrich Turmberg Sp채tlese Riesling (Rheingau),92,3.0,3.0,5.0,5.0,3.0,2.0
Dunning Vineyards 2011 Private Reserve Zinfandel (Paso Robles),38,5.0,1.0,4.0,3.0,3.0,1.0
Laird 2009 Sauvignon Blanc (Napa Valley),16,4.0,3.0,3.0,4.0,4.0,3.0
Bonacchi 2008 Molino del Piano  (Brunello di Montalcino),38,3.0,3.0,4.0,3.0,5.0,5.0
Fratelli Ponte 2015  Barbera d'Asti Superiore,35,3.0,5.0,5.0,3.0,4.0,5.0
Longevity 2012 Cabernet Sauvignon (Livermore Valley),30,3.0,5.0,3.0,3.0,3.0,3.0
Bailly-Lapierre NV Paul Delane R챕serve Brut  (Cr챕mant de Bourgogne),23,3.0,3.0,5.0,5.0,4.0,3.0
Van Loveren 2011 Five's Reserve Chenin Blanc (Robertson),14,5.0,3.0,5.0,4.0,2.0,3.0
Jenke 2005 Cabernet Sauvignon (Barossa),25,3.0,3.0,5.0,3.0,2.0,5.0
Fattoi 2014  Rosso di Montalcino,27,3.0,5.0,5.0,5.0,4.0,3.0
Casa de Vilacetinho 2016 Avesso & Loureiro White (Vinho Verde),13,3.0,3.0,5.0,5.0,3.0,5.0
E. Guigal 2014 White (C척tes du Rh척ne),19,3.0,3.0,3.0,3.0,3.0,3.0
Arrowood 2006 Monte Rosso Cabernet Sauvignon (Sonoma Valley),70,3.0,5.0,5.0,3.0,3.0,3.0
Steven Kent 2006 Home Ranch Cabernet Sauvignon (Livermore Valley),75,3.0,4.0,5.0,3.0,5.0,1.0
Ledgewood Creek 2007 Estate Grown Viognier (Suisun Valley),16,5.0,1.0,3.0,3.0,5.0,3.0
Br체ndlmayer 2015 Terrassen Riesling (Kamptal),21,3.0,3.0,5.0,5.0,3.0,3.0
Argiolas 2011 Is Argiolas  (Vermentino di Sardegna),23,3.0,3.0,5.0,5.0,3.0,4.0
Domaine George 2014 Vieilles Vignes  (Chablis),26,3.0,3.0,4.0,5.0,3.0,3.0
Chatom Vineyards 2008 Syrah (Calaveras County),23,4.0,5.0,5.0,3.0,4.0,1.0
Peter Nicolay 2009 Bernkasteler Badstube Kabinett Riesling (Mosel),20,5.0,3.0,5.0,5.0,3.0,4.0
Jamieson Ranch 2012 Light Horse Chardonnay (California),14,5.0,3.0,5.0,4.0,5.0,3.0
Fog Head 2012 Merlot (California),10,4.0,4.0,3.0,3.0,3.0,1.0
Patz & Hall 2014 Chenoweth Ranch Pinot Noir (Russian River Valley),60,3.0,3.0,5.0,3.0,3.0,3.0
Tahbilk 2007 Cabernet Sauvignon (Nagambie Lakes),19,3.0,3.0,5.0,5.0,2.0,1.0
Culmina 2013 Thesis Red (Okanagan Valley),60,3.0,5.0,4.0,5.0,4.0,3.0
Marqu챕s de C찼ceres 2008 Crianza  (Rioja),15,3.0,3.0,5.0,3.0,5.0,1.0
Hollen Family Vineyards 2007 Cabernet Sauvignon (Mendoza),15,5.0,3.0,4.0,5.0,4.0,3.0
Vignerons de Mancey 2014  Bourgogne,15,3.0,5.0,5.0,3.0,1.0,5.0
Kenos 2013 Tempranillo (Cachapoal Valley),10,3.0,3.0,5.0,3.0,5.0,3.0
Cellers Uni처 2013 Roureda Llicorella Gran Selecci처 Vitis 60 Grenache-Carignan (Priorat),33,5.0,3.0,5.0,3.0,3.0,3.0
Midnight 2014 Aurora White (Paso Robles),29,3.0,3.0,5.0,3.0,3.0,3.0
Ch창teau de Candale 2006 Roc de Candale  (Saint-횋milion),35,3.0,5.0,5.0,3.0,3.0,1.0
Lornano 2012 Gran Selezione  (Chianti Classico),65,4.0,5.0,5.0,3.0,4.0,3.0
Paul Blanck 2012 Schlossberg Grand Cru Riesling (Alsace),36,4.0,3.0,5.0,5.0,3.0,1.0
Naches Heights 2005 Syrah (Columbia Valley (WA)),18,3.0,3.0,3.0,3.0,3.0,5.0
Liebart-R챕gnier NV Brut  (Champagne),56,3.0,3.0,3.0,5.0,3.0,5.0
Heart O' The Mountain 2008 Triple Seven Pinot Noir (Santa Cruz Mountains),52,3.0,3.0,5.0,3.0,2.0,3.0
Three Rivers 2010 Malbec (Columbia Valley (WA)),29,3.0,3.0,5.0,3.0,4.0,3.0
Aresti 2002 Montemar Gew체rztraminer (Curic처 Valley),8,4.0,5.0,5.0,5.0,1.0,3.0
Cocobon 2011 Red (California),8,5.0,3.0,3.0,3.0,3.0,3.0
La Vieille Ferme 2013 Ros챕 (Ventoux),9,3.0,3.0,5.0,3.0,2.0,3.0
Yaffo 2014 Hommage Cabernet Sauvignon (Ella Valley),38,5.0,5.0,5.0,3.0,5.0,5.0
Talamonti 2009 Mod횪  (Montepulciano d'Abruzzo),10,3.0,3.0,5.0,3.0,3.0,5.0
J Vineyards & Winery 2009 Chardonnay (Russian River Valley),28,5.0,3.0,5.0,5.0,4.0,3.0
La Colombina 2014  Rosso di Montalcino,18,3.0,5.0,5.0,5.0,3.0,3.0
Acrobat 2014 Ros챕 of Pinot Noir (Oregon),13,3.0,3.0,5.0,5.0,3.0,3.0
Lapostolle 2011 Cuv챕e Alexandre Atalayas Vineyard Made with Organic Grapes Chardonnay (Casablanca Valley),25,3.0,3.0,5.0,5.0,4.0,3.0
Roger Roessler 2015 Lennox Pinot Noir (Russian River Valley),54,3.0,3.0,5.0,5.0,4.0,3.0
Upland Estates 2010 Sauvignon Blanc (Snipes Mountain),15,5.0,3.0,3.0,5.0,4.0,3.0
Barton & Guestier 2012 Ros챕 (C척tes de Provence),,3.0,3.0,5.0,5.0,2.0,3.0
Canard-Duch챗ne NV Authentic Brut Ros챕  (Champagne),40,3.0,3.0,5.0,5.0,3.0,1.0
Colutta NV Brut Ros챕 Sparkling (Friuli),22,3.0,3.0,5.0,4.0,2.0,3.0
Ilurce 2008 Rosado Ros챕 (Rioja),10,5.0,1.0,5.0,5.0,3.0,3.0
Auriga 2010 Smokey Ridge Ranch Sangiovese (El Dorado),20,3.0,3.0,5.0,3.0,3.0,3.0
Carl Graff 2015 Riesling (Mosel),12,3.0,3.0,3.0,5.0,4.0,2.0
Vignerons de Buxy 2015 Les Chaniots Premier Cru  (Montagny),35,4.0,3.0,4.0,5.0,4.0,2.0
Cullen 2014 Amber Semillon-Sauvignon Blanc (Margaret River),39,3.0,3.0,3.0,3.0,5.0,3.0
Tenuta Cocci Grifoni 2004 Le Torri  (Rosso Piceno Superiore),13,3.0,5.0,5.0,3.0,4.0,3.0
San Pedro 2012 1865 Single Vineyard Malbec (Maule Valley),20,3.0,3.0,5.0,3.0,4.0,3.0
Oak Grove 2009 Reserve Chardonnay (California),8,3.0,3.0,5.0,5.0,2.0,1.0
G. Reedy 2012 Cabernet Sauvignon (Alexander Valley),32,5.0,5.0,5.0,3.0,4.0,5.0
Kirkland Signature 2013 Signature Series Mountain Cuvee Cabernet Sauvignon (Napa Valley),19,3.0,3.0,3.0,3.0,3.0,3.0
Petaluma 2010 Chardonnay (Piccadilly Valley),33,3.0,3.0,4.0,3.0,3.0,3.0
Gianni Gagliardo 2013 La Matta  (Barbera d'Alba Superiore),42,3.0,5.0,5.0,5.0,3.0,3.0
Lullaby 2008 Lalayee Red Merlot-Cabernet Sauvignon (Walla Walla Valley (WA)),45,5.0,3.0,5.0,3.0,2.0,5.0
Sterling 2012 Platinum Cabernet Sauvignon (Napa Valley),70,3.0,5.0,3.0,3.0,4.0,3.0
V. Sattui 2009 Doctor's Vineyard Pinot Noir (Santa Lucia Highlands),40,3.0,3.0,5.0,5.0,4.0,3.0
DeRose 2010 Dryfarmed Old Vine Cabernet Pfeffer (Cienega Valley),25,5.0,4.0,5.0,3.0,2.0,3.0
Ruffino 2010 Riserva Ducale Oro Gran Selezione  (Chianti Classico),43,4.0,5.0,5.0,5.0,4.0,5.0
Dr. Heidemanns-Bergweiler 2015 Dry Riesling (Mosel),20,3.0,3.0,4.0,5.0,3.0,1.0
Porta 2000 Grand Reserve Pinot Noir (B챠o B챠o Valley),22,3.0,5.0,5.0,3.0,3.0,3.0
Seven Falls 2012 Merlot (Wahluke Slope),20,3.0,3.0,5.0,3.0,3.0,3.0
Domaine des Terrisses 2014 Terrisses Ros챕 (Gaillac),14,3.0,3.0,5.0,5.0,3.0,2.0
Austin Hope 2014 Syrah (Templeton Gap District),55,4.0,4.0,5.0,3.0,4.0,3.0
Talley 2012 Estate Pinot Noir (Arroyo Grande Valley),36,3.0,3.0,5.0,3.0,4.0,3.0
Ampelos 2013 Pinot Noir (Sta. Rita Hills),25,3.0,3.0,5.0,4.0,4.0,3.0
Black Box 2009 3 L Pinot Grigio (California),25,3.0,3.0,3.0,5.0,3.0,1.0
Rivetto 2009 C챔 Vanin  (Barbaresco),40,3.0,3.0,5.0,3.0,4.0,3.0
Palari 2005 Faro Red (Sicilia),80,3.0,3.0,4.0,5.0,3.0,3.0
Evening Land 2011 Seven Springs Vineyard Chardonnay (Eola-Amity Hills),40,4.0,3.0,4.0,5.0,3.0,3.0
Ch창teau de Calavon 2009 La R챕serve Red (Coteaux d'Aix-en-Provence),38,3.0,4.0,4.0,3.0,5.0,3.0
Lexington 2013 Gist Ranch Estate Malbec (Santa Cruz Mountains),45,3.0,4.0,5.0,3.0,5.0,3.0
Pueblo del Sol 2010 Tannat (Juanico),10,5.0,3.0,5.0,3.0,3.0,5.0
Etude 2006 Heirloom Estate Grown Pinot Noir (Carneros),90,4.0,4.0,5.0,3.0,5.0,5.0
Brave & Maiden 2012 Estate Limited Merlot (Santa Ynez Valley),65,3.0,5.0,5.0,3.0,4.0,3.0
Jean-Luc and Paul Aegerter 2014  Saint-V챕ran,23,3.0,3.0,3.0,5.0,4.0,2.0
Marimar Estate 2013 Don Miguel Vineyard Estate Grown & Bottled Albari챰o (Russian River Valley),32,3.0,3.0,3.0,5.0,1.0,3.0
Carmel Road 2010 Liberated Chardonnay (Monterey),16,3.0,3.0,5.0,5.0,3.0,3.0
Jean-Luc and Paul Aegerter 2010 Les Gourmandes  (Chorey-l챔s-Beaune),43,3.0,3.0,5.0,3.0,1.0,3.0
Cambria 2010 Julia's Vineyard Pinot Noir (Santa Maria Valley),25,5.0,5.0,5.0,5.0,5.0,3.0
Trio Vintners 2010 Far Away Vineyard Mourv챔dre (Yakima Valley),26,3.0,3.0,5.0,3.0,4.0,3.0
Pacific Rim 2012 Wallula Vineyard Biodynamic Riesling (Horse Heaven Hills),24,3.0,3.0,3.0,5.0,4.0,1.0
Round Pond 2014 Proprietary White (Rutherford),38,5.0,3.0,5.0,5.0,3.0,3.0
Walla Walla Vintners 2005 Vineyard Select Cabernet Sauvignon (Walla Walla Valley (WA)),48,3.0,5.0,5.0,3.0,1.0,5.0
A to Z 2006 Pinot Gris (Oregon),13,3.0,3.0,5.0,5.0,3.0,3.0
Saveur des Vins de France 2015 Les Portes de Bordeaux  (Bordeaux Blanc),8,3.0,3.0,5.0,3.0,4.0,5.0
Senses 2014 Ros챕 of Ros챕 (Sonoma Coast),25,3.0,3.0,5.0,5.0,2.0,3.0
Gayda 2008 Ros챕 (Vin de Pays d'Oc),15,3.0,3.0,5.0,3.0,5.0,3.0
Pursued by Bear 2013 Reserve Cabernet Sauvignon (Columbia Valley (WA)),85,5.0,3.0,5.0,3.0,3.0,3.0
Martin Woods 2016 Havlin Vineyard Gamay (Willamette Valley),35,3.0,5.0,5.0,5.0,4.0,3.0
Winzer Krems 2009 Trockenbeerenauslese Riesling (Nieder철sterreich),48,5.0,3.0,3.0,5.0,3.0,1.0
MacMurray Ranch 2011 Pinot Noir (Santa Lucia Highlands),35,3.0,3.0,3.0,5.0,4.0,5.0
Cuna del Sol 2014 Cabernet Sauvignon (Central Valley),12,3.0,5.0,5.0,5.0,3.0,3.0
Domaine L. Chatelain 2014 Fourchaume Premier Cru  (Chablis),35,3.0,3.0,5.0,5.0,4.0,2.0
Monmousseau 2016 Justin Monmousseau Sauvignon Blanc (Touraine),13,4.0,3.0,5.0,5.0,4.0,2.0
Quinta do Ameal 2010 Ameal S.H. White (Portuguese Table Wine),,5.0,3.0,5.0,5.0,3.0,3.0
Super Sonoman 2009 Syrah (Sonoma County),50,5.0,3.0,5.0,3.0,4.0,3.0
Polkura 2009 Syrah (Colchagua Valley),29,4.0,5.0,5.0,3.0,4.0,2.0
Kendall-Jackson 2014 Vintner's Reserve Zinfandel (California),17,3.0,5.0,5.0,3.0,2.0,3.0
Sixto 2013 Moxee Chardonnay (Washington),50,3.0,3.0,3.0,5.0,4.0,3.0
Jasper Hill 2013 Georgia's Paddock Shiraz (Heathcote),85,5.0,3.0,5.0,3.0,3.0,3.0
Mills Reef 2012 Gimblett Gravels Reserve Merlot-Malbec (Hawke's Bay),20,3.0,3.0,5.0,3.0,5.0,3.0
Michael Gill Cellars 2012 Black Tie Syrah (Paso Robles),70,4.0,3.0,5.0,3.0,4.0,3.0
Pendulum 2015 Cabernet Sauvignon (Columbia Valley (WA)),17,3.0,3.0,5.0,3.0,5.0,3.0
Heaven's Cave 2008 The Dweller Syrah (Horse Heaven Hills),24,3.0,3.0,3.0,5.0,2.0,3.0
Bersano 2011 San Michele  (Moscato d'Asti),12,5.0,3.0,5.0,3.0,2.0,3.0
Louis Jadot 2014  Beaujolais-Villages,13,3.0,3.0,5.0,5.0,4.0,2.0
Guardian 2012 Chalk Line Red (Columbia Valley (WA)),24,3.0,5.0,5.0,3.0,4.0,3.0
Sparkman 2009 Stella Mae Red (Red Mountain),45,3.0,5.0,5.0,3.0,5.0,1.0
Tedeschi 2015 Capitel Nical챵  (Valpolicella Superiore),22,3.0,5.0,5.0,3.0,4.0,3.0
Kendall-Jackson 2013 Vintner's Reserve Summation Red (California),17,3.0,5.0,5.0,3.0,2.0,2.0
Peterson 1998 Zinfandel (Dry Creek Valley),18,3.0,4.0,3.0,3.0,3.0,3.0
Trinity Vineyards 2012 Winemaker's Reserve Pinot Noir (Willamette Valley),45,3.0,3.0,5.0,5.0,4.0,3.0
Savage Grace 2016 Red Willow Vineyard Syrah (Yakima Valley),28,3.0,3.0,5.0,3.0,5.0,3.0
Caposaldo 2010  Chianti,10,3.0,3.0,5.0,3.0,3.0,5.0
Zenato 2012 Metodo Classico Brut  (Lugana),35,3.0,3.0,5.0,5.0,3.0,3.0
Matheus 2005 Piesporter Goldtr철pfchen Kabinett Riesling (Mosel-Saar-Ruwer),19,5.0,3.0,4.0,5.0,3.0,3.0
Scarlett 2010 Estate Grown McGah Family Vineyards Cabernet Sauvignon (Rutherford),60,5.0,3.0,3.0,5.0,5.0,2.0
Borges 2011 Lello Red (Douro),8,3.0,5.0,5.0,4.0,4.0,2.0
Kohl 2014 Classic Zweigelt (Nieder철sterreich),,3.0,3.0,5.0,3.0,2.0,1.0
Sandro de Bruno 2010 Monte San Piero  (Soave Superiore),27,4.0,3.0,5.0,4.0,3.0,2.0
Side Job 2008 Zinfandel (Sonoma County),15,3.0,3.0,4.0,3.0,4.0,3.0
Fairview 2010 Primo Pinotage (Paarl),29,5.0,5.0,5.0,5.0,5.0,3.0
Hawk and Horse Vineyards 2011 Cabernet Sauvignon (Red Hills Lake County),70,3.0,4.0,5.0,3.0,5.0,3.0
Kendall-Jackson 2010 Vintner's Reserve Syrah (California),17,4.0,3.0,5.0,3.0,3.0,3.0
Paul Cheneau NV Lady of Spain Brut Sparkling (Cava),15,5.0,3.0,5.0,5.0,3.0,5.0
Ch창teau Haut-Rian 2016  Bordeaux Blanc,16,3.0,3.0,5.0,3.0,2.0,3.0
Cupcake 2013 Sauvignon Blanc (Marlborough),14,3.0,3.0,5.0,3.0,2.0,1.0
Louloute 2015 Pinot Noir (Oregon),23,3.0,3.0,5.0,3.0,2.0,3.0
Bailly-Lapierre NV Brut  (Cr챕mant de Bourgogne),25,3.0,3.0,5.0,5.0,4.0,2.0
Hannes Reeh 2012 Unplugged Zweigelt (Burgenland),34,3.0,3.0,4.0,5.0,1.0,5.0
Barton & Guestier 2008 Originel Made with Organically Grown Grapes Merlot (Vin de Pays d'Oc),10,3.0,3.0,5.0,3.0,3.0,3.0
Rooster Hill 2014 Cabernet Sauvignon (Finger Lakes),20,3.0,3.0,5.0,5.0,3.0,5.0
Ch창teau Haut la Pointe 2014  Blaye C척tes de Bordeaux,25,3.0,3.0,4.0,3.0,3.0,5.0
Cecchi 2012  Chianti,14,4.0,5.0,5.0,3.0,3.0,3.0
Montenisa NV Ros챕 Pinot Nero (Franciacorta),,3.0,3.0,5.0,4.0,2.0,3.0
Cupano 2008  Brunello di Montalcino,130,5.0,3.0,5.0,5.0,4.0,5.0
Santa Ema 2008 Reserve Merlot (Maipo Valley),14,4.0,3.0,5.0,5.0,5.0,3.0
Camigliano 2011 Gualto  (Brunello di Montalcino),100,1.0,5.0,5.0,3.0,3.0,3.0
Eredi Enzo Raspi 2013 Bandini Villa Pomona  (Chianti Classico),21,4.0,5.0,5.0,3.0,5.0,3.0
San Juan Vineyards 2007 Reserve Chardonnay (Yakima Valley),20,3.0,3.0,5.0,3.0,2.0,3.0
Z'IVO 2014 Pinot Noir (Eola-Amity Hills),45,5.0,5.0,5.0,3.0,2.0,3.0
flipflop 2012 Chardonnay (California),7,4.0,3.0,5.0,3.0,3.0,5.0
Kupelwieser 2009 Pinot Bianco (Alto Adige),16,4.0,3.0,5.0,3.0,3.0,4.0
Companhia das Quintas 2015 Quinta de Pancas Chardonnay-Arinto-Vital White (Lisboa),15,3.0,3.0,5.0,5.0,3.0,3.0
Prix 2004 Reserve Melange Red (Napa Valley),75,4.0,4.0,3.0,3.0,5.0,5.0
Casaloste 2011  Chianti Classico,18,3.0,5.0,5.0,3.0,3.0,3.0
Palmina 2008 Honea Nebbiolo (Santa Barbara County),70,3.0,4.0,5.0,5.0,5.0,3.0
Caves Velhas 2014 D. Fuas Reserva Red (Terras do D찾o),10,3.0,5.0,5.0,5.0,4.0,5.0
Anna Maria Abbona 2007 Maioli  (Dolcetto di Dogliani),25,5.0,3.0,5.0,3.0,3.0,3.0
Dezzani 2012 San Carlo  (Barolo),29,1.0,5.0,5.0,3.0,4.0,3.0
J. & F. Lurton 2009 Hacienda Araucano Clos de Lolol Red (Lolol Valley),23,3.0,3.0,5.0,3.0,3.0,1.0
MacMurray Ranch 2010 Pinot Noir (Russian River Valley),27,3.0,3.0,5.0,4.0,5.0,3.0
Launa 2011 Ikunus  (Rioja),40,3.0,3.0,5.0,5.0,5.0,3.0
Kershaw 2013 Clonal Selection Chardonnay (Elgin),60,4.0,4.0,5.0,5.0,3.0,3.0
Nicolis 2010  Valpolicella Classico,13,4.0,3.0,5.0,3.0,2.0,3.0
Casal da Coelheira 2013 Reserva Red (Tejo),17,3.0,5.0,4.0,5.0,5.0,3.0
Rivera 2004 Riserva Il Falcone Red (Castel del Monte),33,3.0,3.0,3.0,3.0,4.0,3.0
